player_name,hand,ff_speed,ff_spin,ff_xBreak,ff_zBreak,sl_speed,sl_spin,sl_xBreak,sl_zBreak,ch_speed,ch_spin,ch_xBreak,ch_zBreak,cu_speed,cu_spin,cu_xBreak,cu_zBreak,si_speed,si_spin,si_xBreak,si_zBreak,fc_speed,fc_spin,fc_xBreak,fc_zBreak,fs_speed,fs_spin,fs_xBreak,fs_zBreak,release_extension,ff_RPx,ff_RPz,ch_RPx,ch_RPz,fc_RPx,fc_RPz,cu_RPx,cu_RPz,si_RPx,si_RPz,sl_RPx,sl_RPz,fs_RPx,fs_RPz
"Abad, Fernando",L,91.7,2112,5.3,-17.5,,,,,75.1,1638,10.7,-34.5,76.4,2502,-7.2,-56.2,92.4,2145,13.2,-19.3,82.6,2310,-3.4,-37.3,,,,,,0.45,6.18,0.71,6.42,1.14,6.02,0.73,6.26,0.56,6.29,,,,
"Abbott, Cory",R,92.6,2320,-9.6,-14.9,87.7,2203,-6.6,-32,87,2139,-13.9,-24,84,2441,5.8,-49,,,,,,,,,,,,,,-2.64,5.53,-2.44,5.73,,,-2.65,5.81,,,-2.67,5.72,,
"Abreu, Albert",R,97.8,2132,-11.7,-13.3,87.3,2209,2.8,-32.5,88.2,1781,-16.8,-26.7,81,2561,9.5,-56,98,2155,-15.3,-15.4,,,,,,,,,6.47,-2.46,5.66,-2.27,5.71,,,-2.46,5.78,-2.47,5.65,-2.57,5.75,,
"Abreu, Bryan",R,95.7,2215,-8,-13,88.9,2526,3.8,-36.8,,,,,86.5,2787,7.5,-46.9,96.1,2277,-14.2,-15.2,,,,,,,,,6.26,-1.55,5.96,,,,,-1.58,6.12,-1.89,5.86,-1.98,5.75,,
"Adam, Jason",R,93.8,2605,-7,-14.4,82.4,2763,6.8,-46.4,87.3,1656,-16,-33.2,78.3,2626,10.7,-57.7,,,,,,,,,,,,,,-1.93,5.74,-1.9,5.97,,,-1.6,6.27,,,-1.81,6.01,,
"Adams, Austin",R,94.1,2571,-8.7,-21.9,86.9,2836,10,-35.3,,,,,,,,,,,,,,,,,,,,,5.82,-3.4,5.37,,,,,,,,,-3.43,5.3,,
"Akin, Keegan",L,92,2337,10.7,-14.4,84.2,2215,-4.5,-35.5,81.9,1937,15.3,-32.6,76.5,2411,-6,-50.8,,,,,,,,,,,,,6.03,2.4,5.91,2.46,5.66,,,2.5,5.71,,,2.53,5.74,,
"Albers, Andrew",L,88.4,2187,7.5,-16.4,78.1,2299,-2.6,-46,80,1407,12.7,-35.1,68.8,2260,-8.3,-67.8,88.3,2038,13.3,-20.1,,,,,,,,,,2,5.85,2.18,5.88,,,1.81,5.95,1.66,5.84,1.38,5.89,,
"Alcala, Jorge",R,97.4,2346,-10.7,-12.9,89.7,2435,3,-29.2,90.1,2300,-17.8,-24.9,,,,,97.2,2208,-16.4,-18.1,,,,,,,,,5.68,-2.53,6.52,-2.74,6.29,,,,,-2.57,6.47,-2.73,6.41,,
"Alcantara, Sandy",R,98.1,2239,-10.6,-14.8,90.4,2359,-1.3,-30.1,91.8,2006,-16.1,-29.2,83.7,2396,3.8,-42.9,97.6,2324,-17.3,-21.5,,,,,,,,,5.9,-2.35,5.96,-2.28,5.99,,,-2.3,6.05,-2.4,5.95,-2.35,5.91,,
"Alexander, Scott",L,,,,,84.3,2449,-3.9,-42.6,86.2,1608,13.6,-32,,,,,92.2,2188,14.1,-27.2,,,,,,,,,6.09,,,1.75,5.67,,,,,1.83,5.69,1.76,5.75,,
"Alexander, Tyler",L,90.5,2192,7.1,-16.9,82.2,2342,-5.3,-39.4,83.7,1462,13.2,-31.5,,,,,90.2,2108,14.5,-20.4,86.2,2335,-3.7,-28,,,,,6.25,2.08,5.78,2.02,5.83,2.11,5.73,,,2.04,5.81,1.99,5.86,,
"Alexy, A.J.",R,93.3,2218,-4.2,-12.3,80.9,2382,7.7,-43.4,85.8,1487,-7.9,-25.3,76.2,2469,9.6,-65.2,,,,,,,,,,,,,6.72,-1.17,5.99,-1.28,5.9,,,-1.03,6.06,,,-1.22,5.87,,
"Allard, Kolby",L,91.5,2121,7.9,-15.7,,,,,83.6,1606,14.1,-29.2,75.9,1896,-4.5,-56.6,92.5,2199,13.3,-15.7,86.3,2197,-2.4,-30.6,,,,,5.69,2.16,5.48,2.3,5.6,2.21,5.52,2.07,5.64,2.17,5.54,,,,
"Allen, Logan",L,92.7,1992,6.9,-16.3,81.7,2537,-13,-41.7,83.3,1515,14,-31.1,76.8,2706,-9.5,-59.9,90,1688,12.8,-25,,,,,,,,,5.88,2.03,6.19,2.28,5.98,,,2.05,6.23,2.35,6.04,2.57,6.02,,
"Almonte, Yency",R,94.2,2094,-7.1,-19.4,83.7,2332,7.5,-37.5,87.3,1716,-13.8,-32.4,,,,,93.4,2150,-12.7,-24.1,,,,,,,,,6.68,-2.92,5.67,-2.78,5.59,,,,,-2.26,5.72,-2.82,5.69,,
"Alvarado, Jose",L,98.4,2123,8.2,-13,,,,,,,,,87.2,2444,-0.8,-44.2,99.4,2070,14.7,-15,94.1,2256,-1.3,-25.7,,,,,,,,,,,,,,,,,,,
"Alvarez, Jose",L,91.3,2302,10.6,-17.2,81.4,2238,-5,-36.7,81.2,1541,14.4,-37.2,,,,,91.2,2127,16.8,-23,85.8,2304,-2,-27.2,,,,,,,,,,,,,,,,,,,
"Alzolay, Adbert",R,94,2295,-7.8,-14.2,86.1,2610,7.3,-33.4,85.6,1705,-14,-27.9,80,2648,7.6,-42.7,93.8,2209,-15,-19,90.2,2367,3.5,-26.6,,,,,6.31,-1.82,6.12,-1.96,6.09,-1.91,6.13,-1.88,6.14,-1.78,6.16,-1.88,6.09,,
"Anderson, Brett",L,88.6,1898,7.3,-21.4,81.7,2324,-4,-46.3,82.2,1431,13.8,-32.9,76,2328,-5.9,-59.8,89.1,1704,14.5,-24.8,85.7,2036,-0.6,-27.3,,,,,5.84,1.28,6.3,1.51,6.43,1.44,6.18,1.41,6.48,1.4,6.33,1.39,6.15,,
"Anderson, Chase",R,91.5,2121,-6.2,-15,,,,,81.9,2163,-16.6,-26.6,76.9,2034,5.8,-61.2,91.2,2099,-12.7,-16.1,86.6,2294,3.8,-28.1,,,,,5.81,-0.71,6.15,-1.03,6.07,-0.87,6.1,-0.87,6.13,-0.82,6.13,,,,
"Anderson, Drew",R,92.6,2131,-6.4,-13.8,83.8,2403,3.7,-37.3,86.8,1785,-15.4,-25.9,77.1,2532,5.9,-60.8,,,,,,,,,,,,,,-1.47,5.98,-1.61,5.93,,,-1.44,6.02,,,-1.6,5.89,,
"Anderson, Ian",R,94.6,2045,-5.4,-13.2,,,,,88.1,1646,-10.1,-23.1,80.7,1895,1,-48.4,94.1,2081,-11.9,-14.2,,,,,,,,,6.78,-1.48,6.21,-1.65,6.19,,,-1.56,6.2,-1.49,6.26,,,,
"Anderson, Shaun",R,93.2,2528,0.5,-17.9,86.8,2768,6.9,-34.9,86.3,1317,-7.6,-27.7,82.6,2668,6.5,-51.2,93.5,2359,-10.1,-19.6,,,,,,,,,6.55,-2.04,6.31,-2.31,6.37,,,-1.85,6.58,-1.81,6.36,-2.19,6.27,,
"Anderson, Tyler",L,90.6,2294,8.9,-15.1,,,,,80.9,1835,12.9,-28.2,74.3,2444,-5.9,-54.6,89,2257,18,-27.2,85,2487,-2.2,-27.8,,,,,5.93,2.11,6.07,2.31,6.03,2.54,5.81,2.34,6.08,3,5.21,,,,
"Andriese, Matt",R,92,2341,-6.9,-15,,,,,86,2196,-4.1,-35.4,80.1,2678,6.2,-56.9,89.6,2095,-16.6,-27.9,85.8,2438,2.5,-33.9,,,,,5.82,-2.22,5.84,-2.35,5.84,-2.33,5.82,-2.15,6.01,-2.46,5.75,,,,
"Antone, Tejay",R,,,,,83.6,2846,12,-40.5,,,,,79.3,2998,18.4,-54.8,96.8,2677,-11.5,-13.7,,,,,,,,,,,,,,,,-2.33,5.79,-2.03,5.99,-2.4,5.6,,
"Archer, Chris",R,92,2120,-5.9,-13.4,87.2,2430,5.4,-32.8,85.6,1868,-13.9,-27,,,,,,,,,,,,,,,,,,-0.82,6.26,-1.16,6.21,,,,,,,-0.96,6.33,,
"Arihara, Kohei",R,91.3,2158,-10,-17.1,81.8,2194,5.6,-40.5,81.7,1431,-14.6,-37.4,74.1,2252,10,-61.5,90.1,2033,-16.1,-22.4,87.1,2160,-0.5,-26.9,82.8,1485,-8.7,-35.4,,-2.71,5.82,-2.6,5.74,-2.85,5.64,-2.48,5.9,-2.61,5.82,-2.84,5.63,-2.57,5.77
"Armstrong, Shawn",R,93.9,2460,-3.6,-14.9,85.4,2704,11.8,-40,,,,,,,,,,,,,89.2,2659,7.4,-29.8,,,,,6.55,-2.38,5.97,,,-2.32,6.05,,,,,-2.21,6.12,,
"Arrieta, Jake",R,,,,,88.3,2277,3.4,-28.1,86.9,1764,-16,-35.2,80.4,2690,12.1,-52.9,91.4,2084,-15.8,-24,,,,,,,,,5.82,,,-2.85,6.05,,,-2.77,6.16,-2.64,6.18,-2.87,6.03,,
"Ashby, Aaron",L,96.6,2057,8,-18.1,83.7,2557,-9.8,-42.5,88.8,1886,13.8,-32.3,78.8,2504,-6.8,-59.2,96.5,1986,13.4,-22.2,,,,,,,,,5.4,0.5,6.37,0.84,6.21,,,0.78,6.34,0.6,6.31,0.77,6.19,,
"Banda, Anthony",L,94.1,2109,11.3,-15.2,,,,,86.2,1780,15,-30.6,81,2045,-8.7,-49.3,,,,,85.5,2171,0.6,-34.2,,,,,6.16,1.89,5.85,2,5.76,2.03,5.76,1.95,5.87,,,,,,
"Baragar, Caleb",L,92.8,2363,8.6,-11.7,82.9,2680,-7.5,-39.7,,,,,78.1,2657,-6.9,-53.1,,,,,,,,,,,,,6.59,1.96,5.93,,,,,1.78,5.94,,,2.04,5.94,,
"Bard, Daniel",R,97.5,2727,-9.5,-18.6,87.1,2910,9.3,-33.2,89.8,2145,-15.9,-32.4,,,,,97.3,2585,-14.6,-23.4,,,,,,,,,6.15,-2.57,5.36,-2.55,5.24,,,,,-2.65,5.2,-2.39,5.66,,
"Barlow, Joe",R,94.5,2256,-5.2,-11.4,85.9,2179,2.8,-28.8,,,,,79.1,2212,1.3,-52.7,94.2,2214,-9.9,-12.9,,,,,,,,,6.02,0.09,6.06,,,,,-0.03,5.95,-0.3,6.06,-0.29,5.9,,
"Barlow, Scott",R,95.3,2306,-5.3,-15.8,85,2420,7.7,-38.9,,,,,79.3,2479,14.1,-54.3,96.3,2024,-15.8,-17.6,,,,,,,,,6.71,-1.81,5.4,,,,,-1.71,5.53,-0.82,5.34,-1.98,5.31,,
"Barnes, Charlie",L,,,,,81.8,2407,-5,-39,79.3,1721,16.8,-40.6,73.6,2101,-9.7,-53.5,89.8,1828,13.8,-24.9,,,,,,,,,5.55,,,1.94,5.37,,,2.08,5.74,1.84,5.48,1.94,5.43,,
"Barnes, Jacob",R,94.7,2394,-2.8,-11.9,,,,,87.2,1071,-6.9,-25.9,,,,,,,,,88.6,2311,5.5,-28,,,,,6.81,-1.74,5.83,-2.01,5.54,-1.88,5.71,,,,,,,,
"Barnes, Matt",R,95.8,2276,-10.9,-12.4,,,,,87.7,2178,-17.1,-28.4,85.3,2111,3.8,-47.6,,,,,,,,,,,,,6.68,-1.61,6.2,-1.7,6.07,,,-1.58,6.3,,,,,,
"Barraclough, Kyle",R,93.1,2370,-7.9,-16.3,77.2,2401,17.8,-45.4,87.1,1306,-10.4,-30.7,,,,,,,,,,,,,,,,,,-2.72,5.6,-2.64,5.57,,,,,,,-2.79,5.49,,
